Szpital,Adres,B,L,Telefon
"Specjalistyczny Szpital Im. E. Szczeklika w Tarnowie, Oddział Obserwacyjno-Zakaźny Dzieci","Tarnów, Szpitalna 13",50.01726415,20.994490520404526,
"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Tomaszowie Lubelskim, Oddział Obserwacyjno-Zakaźny dla Dorosłych i Oddział Obserwacyjno-Zakaźny Dziecięcy","Tomaszów Lubelski, Aleje Grunwaldzkie 1",50.443058,23.4159827,
"Tomaszowskie Centrum Zdrowia, Oddział Obserwacyjno-Zakaźny","Tomaszów Mazowiecki, Jana Pawła II 35",51.5225067,20.005331,
"Wojewódzki Szpital Zespolony Im. L. Rydygiera w Toruniu, Oddział Hepatologiczny I Oddział Obserwacyjno- Zakaźny","Toruń, Krasińskiego 4/4a",53.01091355,18.59440090488085,
"Megrez Spółka z ograniczoną odpowiedzialnością, Oddział Obserwacyjno-Zakaźny","Tychy, Edukacji 102",50.113186850000005,19.008421779862253,
"Specjalistyczny Szpital Im. Dra Alfreda Sokołowskiego, Oddział Chorób Zakaźnych","Wałbrzych, Batorego 4",50.775216099999994,16.277203258871797,
"107 Szpital Wojskowy z Przychodnią Samodzielny Publiczny Zakład Opieki Zdrowotnej w Wałczu, Oddział Chorób Zakaźnych","Wałcz, Kołobrzeska 44",53.2831065,16.460239,
"Centralny Szpital Kliniczny MSWiA, Oddział Chorób Wewnętrznych i Hepatologii","Warszawa–Mokotów, Wołoska 137",52.1985,21.0012016,
Uniwersyteckie Centrum Kliniczne Warszawskiego Uniwersytetu Medycznego - Dziecięcy Szpital Kliniczny im. Józefa Polikarpa Brudzińskiego,"Warszawa-Ochota, Żwirki i Wigury 63",52.20724,20.984,
"Wojskowy Instytut Medyczny, Klinika Chorób Infekcyjnych I Alergologii","Warszawa-Praga-Południe, Szaserów 128",52.25207525,21.089092573761313,
"Wojewódzki Szpital Zakaźny w Warszawie, Oddział Chorób Zakaźnych","Warszawa-Wola, Wolska 37",52.2344888,20.9720233,
"Szpital Specjalistyczny Im. Jędrzeja Śniadeckiego w Nowym Sączu, Oddział Chorób Zakaźnych","Nowy Sącz, Dąbrowa 1",49.619679,20.703374,
"Wojewódzki Szpital Specjalistyczny Im. J. Gromkowskiego, I i II Oddział Chorób Zakaźnych","Wrocław , Koszarowa 5",51.1418997,17.0644631,
"Uniwersytecki Szpital Kliniczny Im. Jana Mikulicza-Radeckiego we Wrocławiu, Oddział Kliniczny Zakaźny","Wrocław , Tytusa Chałubińskiego 2",51.109638,17.0657408,
"Szpital Powiatowy w Zawierciu, Oddział Obserwacyjno-Zakaźny z Pododdziałem Skórno-Wenerologicznym","Zawiercie, Miodowa 14",50.48177495,19.40880931460767,
"Szpital Uniwersytecki Imienia Karola Marcinkowskiego w Zielonej Górze Spółka Z Ograniczoną Odpowiedzialnością, Kliniczny Oddział Chorób Zakaźnych","Zielona Góra, Zyty 26",51.94147015,15.519459711449178,
